Category,Word
Domestic animals,Alpaca
Domestic animals,Bull
Domestic animals,Canary
Domestic animals,Cat
Domestic animals,Chick
Domestic animals,Chicken
Domestic animals,Rooster
Domestic animals,Cow
Domestic animals,Deer
Domestic animals,Dog
Domestic animals,Donkey
Domestic animals,Duck
Domestic animals,Ferret
Domestic animals,Fish
Domestic animals,Foal
Domestic animals,Goat
Domestic animals,Goldfish
Domestic animals,Goose
Domestic animals,Guinea pig
Domestic animals,Hamster
Domestic animals,Hen
Domestic animals,Horse
Domestic animals,Llama
Domestic animals,Lamb
Domestic animals,Lizard
Domestic animals,Mare
Domestic animals,Mouse
Domestic animals,Mule
Domestic animals,Parakeet
Domestic animals,Parrot
Domestic animals,Peacock
Domestic animals,Pig
Domestic animals,Piglet
Domestic animals,Pony
Domestic animals,Rabbit
Domestic animals,Ram
Domestic animals,Sheep
Domestic animals,Sow
Domestic animals,Stallion
Domestic animals,Swan
Domestic animals,Swine
Domestic animals,Turkey
Domestic animals,Turtle
Domestic animals,Ewe
Domestic animals,Ox
Domestic animals,Geese
Zoo animals,Alligator
Zoo animals,Baboon
Zoo animals,Badger
Zoo animals,Bat
Zoo animals,Bear
Zoo animals,Beaver
Zoo animals,Bison
Zoo animals,Boar
Zoo animals,Bobcat
Zoo animals,Buffalo
Zoo animals,Camel
Zoo animals,Cassowary
Zoo animals,Cheetah
Zoo animals,Chimpanzee
Zoo animals,Coyote
Zoo animals,Crocodile
Zoo animals,Deer
Zoo animals,Fox
Zoo animals,Giraffe
Zoo animals,Wildebeest
Zoo animals,Gorilla
Zoo animals,Hedgehog
Zoo animals,Hippopotamus
Zoo animals,Hyena
Zoo animals,Jackal
Zoo animals,Jaguar
Zoo animals,Kangaroo
Zoo animals,Koala
Zoo animals,Leopard
Zoo animals,Lion
Zoo animals,Lizard
Zoo animals,Mongoose
Zoo animals,Monkey
Zoo animals,Panda
Zoo animals,Panther
Zoo animals,Parrot
Zoo animals,Penguin
Zoo animals,Flamingo
Zoo animals,Polar Bear
Zoo animals,Porcupine
Zoo animals,Possum
Zoo animals,Racoon
Zoo animals,Reindeer
Zoo animals,Rhinoceros
Zoo animals,Salamander
Zoo animals,Sea Lion
Zoo animals,Seahorse
Zoo animals,Seal
Zoo animals,Snake
Zoo animals,Squirrel
Zoo animals,Tiger
Zoo animals,Viper
Zoo animals,Vulture
Zoo animals,Walrus
Zoo animals,Warthog
Zoo animals,Wolf
Zoo animals,Zebra
Zoo animals,Antelope
Zoo animals,Armadillo
Zoo animals,Elephant
Zoo animals,Moose
Zoo animals,Emu
Zoo animals,Iguana
Zoo animals,Ostrich
Zoo animals,Otter
Zoo animals,Owl
Insects,Ant
Insects,Bee
Insects,Bee Hive
Insects,Beetle
Insects,Bug
Insects,Bumble-Bee
Insects,Butterfly
Insects,Caterpillar
Insects,Cicada
Insects,Clothes Moth
Insects,Cockroach
Insects,Cocoon
Insects,Cricket
Insects,Dragonfly
Insects,Firefly
Insects,Flea
Insects,Fly
Insects,Gnat
Insects,Grasshopper
Insects,Hornet
Insects,Horsefly
Insects,Ladybird
Insects,Maggot
Insects,Millipede
Insects,Mosquito
Insects,Moth
Insects,Praying Mantis
Insects,Scorpion
Insects,Slug
Insects,Snail
Insects,Spider
Insects,Spider Web
Insects,Stick Insect
Insects,Termite
Insects,Tick
Insects,Wasp
Insects,Earwig
Insects,Honeycomb
Insects,Lice
Aquatic animals,Eel
Aquatic animals,Bluefin Tuna
Aquatic animals,Bonito
Aquatic animals,Bull Shark
Aquatic animals,Catfish
Aquatic animals,Clam
Aquatic animals,Clownfish
Aquatic animals,Cod
Aquatic animals,Crab
Aquatic animals,Crawfish
Aquatic animals,Cuttlefish
Aquatic animals,Dolphin
Aquatic animals,Flying Fish
Aquatic animals,Great White Shark
Aquatic animals,Grouper
Aquatic animals,Hammerhead Shark
Aquatic animals,Herring
Aquatic animals,Humpback Whale
Aquatic animals,Jellyfish
Aquatic animals,Lobster
Aquatic animals,Mackerel
Aquatic animals,Manatee
Aquatic animals,Dugong
Aquatic animals,Manta Ray
Aquatic animals,Moray Eel
Aquatic animals,Mussel
Aquatic animals,Narwhal
Aquatic animals,Puffer Fish
Aquatic animals,Salmon
Aquatic animals,Saltwater Crocodile
Aquatic animals,Scallop
Aquatic animals,Sea Anemone
Aquatic animals,Sea Cucumber
Aquatic animals,Sea Lion
Aquatic animals,Sea Shell
Aquatic animals,Sea Turtle
Aquatic animals,Seabass
Aquatic animals,Seahorse
Aquatic animals,Seal
Aquatic animals,Shark
Aquatic animals,Shrimp
Aquatic animals,Sponge
Aquatic animals,Squid
Aquatic animals,Starfish
Aquatic animals,Stingray
Aquatic animals,Sunfish
Aquatic animals,Swordfish
Aquatic animals,Tiger Shark
Aquatic animals,Trout
Aquatic animals,Tuna
Aquatic animals,Walrus
Aquatic animals,Whale
Aquatic animals,Whaleshark
Aquatic animals,Anchovy
Aquatic animals,Octopus
Aquatic animals,Orca
Aquatic animals,Oyster
Aquatic animals,Urchin
Aquatic animals,Coral
Aquatic animals,Coral Reef
Aquatic animals,Kelp
Aquatic animals,Plankton
Aquatic animals,Seaweed
Nature,Beach
Nature,Branch
Nature,Bush
Nature,Canyon
Nature,Cave
Nature,Cliff
Nature,Cloud
Nature,Grass
Nature,Desert
Nature,Downpour
Nature,Drought
Nature,Fern
Nature,Field
Nature,Fir Tree
Nature,Flood
Nature,Forest
Nature,Geyser
Nature,Glacier
Nature,Grove
Nature,Hill
Nature,Hot Spring
Nature,Hurricane
Nature,Lake
Nature,Leaf
Nature,Lightning
Nature,Maple
Nature,Moutain
Nature,Mushroom
Nature,Pine Cone
Nature,Pine Tree
Nature,Pond
Nature,Quicksand
Nature,Rainbow
Nature,Raindrop
Nature,River
Nature,Rock
Nature,Root
Nature,Snowflake
Nature,Stone
Nature,Storm
Nature,Stream
Nature,Stump
Nature,Sunrise
Nature,Sunset
Nature,Swamp
Nature,Tornado
Nature,Tree
Nature,Trunk
Nature,Twig
Nature,Valley
Nature,Volcano
Nature,Waterfall
Nature,Wave
Nature,Wood
Nature,Acorn
Nature,Earthquake
Nature,Earth
Nature,Flora And Fauna
Nature,Polar
Nature,Bark
Nature,Canopy
Nature,Coast
Nature,Ecosystem
Nature,Flowers
Nature,Fog
Nature,Mist
Nature,Haze
Nature,Foliage
Nature,Food Chain
Nature,Grass
Nature,Ground
Nature,Hail
Nature,Heat
Nature,Jungle
Nature,Land
Nature,Monsoon
Nature,Moon
Nature,Mud
Nature,Rain
Nature,Sand
Nature,Sap
Nature,Savannah
Nature,Sea
Nature,Shore
Nature,Sky
Nature,Snow
Nature,Soil
Nature,Dirt
Nature,Stars
Nature,Sun
Nature,Weather
Nature,Wind
Feelings and Emotions,Fright
Feelings and Emotions,Joke
Feelings and Emotions,Pessimist
Feelings and Emotions,Optimist
Feelings and Emotions,Anger
Feelings and Emotions,Astonished
Feelings and Emotions,Beaming
Feelings and Emotions,Dejected
Feelings and Emotions,Depressed
Feelings and Emotions,Delighted
Feelings and Emotions,Dismayed
Feelings and Emotions,Dumbfounded
Feelings and Emotions,Excited
Feelings and Emotions,Exciting
Feelings and Emotions,Fear
Feelings and Emotions,Flabbergasted
Feelings and Emotions,Formidable
Feelings and Emotions,Frightening
Feelings and Emotions,Scary
Feelings and Emotions,Fearful
Feelings and Emotions,Glee
Feelings and Emotions,Gloomy
Feelings and Emotions,Happiness
Feelings and Emotions,Joy
Feelings and Emotions,Pleased With
Feelings and Emotions,Pleasure
Feelings and Emotions,Sadness
Feelings and Emotions,Satisfaction
Feelings and Emotions,Sorrow
Feelings and Emotions,Sulky
Feelings and Emotions,Sullen
Feelings and Emotions,Surprised
Feelings and Emotions,Surprising
Feelings and Emotions,Terrifying
Feelings and Emotions,Terror
Feelings and Emotions,Cheerful
Feelings and Emotions,Cheerfulness
Feelings and Emotions,Brightness
Clothes,Beanie
Clothes,Belt
Clothes,Beret
Clothes,Bikini
Clothes,Blazer
Clothes,Blouse
Clothes,Bra
Clothes,Brooch
Clothes,Button
Clothes,Cap
Clothes,Cardigan
Clothes,Vest
Clothes,Chain
Clothes,Coat
Clothes,Dress
Clothes,Handkerchief
Clothes,Hat
Clothes,Hook
Clothes,Jacket
Clothes,Jersey
Clothes,Necklace
Clothes,Needle
Clothes,Nightdress
Clothes,Pullover
Clothes,Sweater
Clothes,Jumper
Clothes,Raincoat
Clothes,Scarf
Clothes,Shirt
Clothes,Skirt
Clothes,Sleeve
Clothes,Suit
Clothes,Sweatshirt
Clothes,T-Shirt
Clothes,Tie
Clothes,Top
Clothes,Tuxedo
Clothes,Uniform
Clothes,Watch
Clothes,Wedding Ring
Clothes,Zip
Clothes,Apron
Clothes,Blouse
Clothes,Boots
Clothes,Bow Tie
Clothes,Boxers
Clothes,Braces
Clothes,Briefs
Clothes,Casual Dress
Clothes,Clothing
Clothes,Cufflinks
Clothes,Bath Robe
Clothes,Earrings
Clothes,Formal Dress
Clothes,Genuine
Clothes,Gloves
Clothes,Jeans
Clothes,Jewellery
Clothes,Knickers
Clothes,Leather Jacket
Clothes,Light
Clothes,Loose
Clothes,Miniskirt
Clothes,Nightgown
Clothes,Nightdress
Clothes,Overalls
Clothes,Overcoat
Clothes,Pajamas
Clothes,Panties
Clothes,Pants
Clothes,Trousers
Clothes,Pantyhose
Clothes,Tights
Clothes,Pastel
Clothes,Plain
Clothes,Pleated Skirt
Clothes,Pyjamas
Clothes,Shorts
Clothes,Slippers
Clothes,Socks
Clothes,Stockings
Clothes,Straight Skirt
Clothes,Swimming Cap
Clothes,Swimming Trunks
Clothes,Bathing Suit
Clothes,Tights
Clothes,Tracksuit
Clothes,Undershirt
Clothes,Underwear
Human body,Mouth
Human body,Cheek
Human body,Knob
Human body,Lash
Human body,Lip
Human body,Lobe Of Ear
Human body,Nostril
Human body,Tooth
Human body,An Ear
Human body,Eyes
Human body,Eyebrows
Human body,Eyelids
Human body,Eyebrows
Human body,Gum
Human body,Nose
Human body,Teeth
Human body,Temples
Human body,Adam�S Apple
Human body,Chin
Human body,Cornea
Human body,Face
Human body,Hair
Human body,Head
Human body,Iris
Human body,Jaw
Human body,Nape
Human body,Neck
Human body,Pupil
Human body,Retina
Human body,Throat
Human body,Wrinkles
Human body,Armpit
Human body,Biceps
Human body,Fist
Human body,Hand
Human body,Nail
Human body,Triceps
Human body,An Arm
Human body,Elbow
Human body,Index Finger
Human body,Palm
Human body,Shoulder
Human body,Wrist
Human body,Fingers
Human body,Belly
Human body,Nipples
Human body,Back
Human body,Chest
Human body,Navel
Human body,Rib Cage
Human body,Scapula
Human body,Spinal Column
Human body,Thorax
Human body,Ankle
Human body,Foot
Human body,Knee
Human body,Leg
Human body,Toe
Human body,Buttocks
Human body,Big Toe
Human body,Calf
Human body,Heel
Human body,Hip
Human body,Thigh
Human body,Aorta
Human body,Blood-Vessel
Human body,Body
Human body,Ligament
Human body,Tendon
Human body,Vein
Human body,An Artery
Human body,Bronchi
Human body,Genitals
Human body,Intestines
Human body,Kidneys
Human body,Large Intestine
Human body,Lungs
Human body,Small Intestine
Human body,Achilles� Tendon
Human body,Appendix
Human body,Bladder
Human body,Brain
Human body,Cartilage
Human body,Colonist
Human body,Diaphragm
Human body,Failure
Human body,Gall Bladder
Human body,Heart
Human body,Jugular Vein
Human body,Larynx
Human body,Liver
Human body,Oesophagus
Human body,Pancreas
Human body,Penis
Human body,Prostate
Human body,Pulmonary Vein
Human body,Rectum
Human body,Sternum
Human body,Stomach
Human body,Trachea
Human body,Urethra
Human body,Uterus
Human body,Vagina
Astrological Sign,Aquarius
Astrological Sign,Libra 
Astrological Sign,Taurus
Astrological Sign,Cancer
Astrological Sign,Capricorn
Astrological Sign,Pisces
Astrological Sign,Gemini
Astrological Sign,Leo
Astrological Sign,Aries
Astrological Sign,Sagittarius
Astrological Sign,Scorpio
Astrological Sign,Virgo
Chinese Zodiac,Cock
Chinese Zodiac,Dog
Chinese Zodiac,Dragon
Chinese Zodiac,Goat
Chinese Zodiac,Horse
Chinese Zodiac,Monkey
Chinese Zodiac,Ox
Chinese Zodiac,Pig
Chinese Zodiac,Rabbit
Chinese Zodiac,Rat
Chinese Zodiac,Snake
Chinese Zodiac,Tiger
Fruits And Vegetables,Apricot
Fruits And Vegetables,Banana
Fruits And Vegetables,Blueberry
Fruits And Vegetables,Clementine
Fruits And Vegetables,Coconut
Fruits And Vegetables,Cranberry
Fruits And Vegetables,Date
Fruits And Vegetables,Grapefruit
Fruits And Vegetables,Guava
Fruits And Vegetables,Jackfruit
Fruits And Vegetables,Kiwifruit
Fruits And Vegetables,Lemon
Fruits And Vegetables,Lime
Fruits And Vegetables,Lychee
Fruits And Vegetables,Mango
Fruits And Vegetables,Mangosteen
Fruits And Vegetables,Melon
Fruits And Vegetables,Papaya
Fruits And Vegetables,Passion Fruit
Fruits And Vegetables,Peach
Fruits And Vegetables,Pear
Fruits And Vegetables,Pineapple
Fruits And Vegetables,Plum
Fruits And Vegetables,Pomegranate
Fruits And Vegetables,Raspberry
Fruits And Vegetables,Strawberry
Fruits And Vegetables,Tangerine
Fruits And Vegetables,Watermelon
Fruits And Vegetables,Apple
Fruits And Vegetables,Avocado
Fruits And Vegetables,Orange
Fruits And Vegetables,Blackberry
Fruits And Vegetables,Blackcurrant
Fruits And Vegetables,Cherry
Fruits And Vegetables,Grape
Fruits And Vegetables,Raisin
Fruits And Vegetables,Redcurrant
Fruits And Vegetables,Tomato
Fruits And Vegetables,Goji Berries
Quality (Good),Dexterous
Quality (Good),Adventurous
Quality (Bad),Aggressive
Quality (Bad),Agitated
Quality (Good),Ambitious
Quality (Good),Amiable
Quality (Bad),Annoying
Quality (Bad),Arrogant
Quality (Good),Attentive
Quality (Good),Attractive
Quality (Bad),Authoritarian
Quality (Good),Autonomous
Quality (Bad),Awkward
Quality (Bad),Bad
Quality (Good),Benevolent
Quality (Bad),Boastful
Quality (Good),Brave
Quality (Bad),Brutal
Quality (Good),Calm
Quality (Good),Carefree
Quality (Good),Careful
Quality (Good),Charitable
Quality (Good),Charming
Quality (Bad),Cheater
Quality (Good),Clever
Quality (Bad),Clumsy
Quality (Good),Common Sense
Quality (Good),Compassionate
Quality (Good),Competent
Quality (Bad),Compulsive
Quality (Good),Confident
Quality (Good),Conscientious
Quality (Good),Contemptuous
Quality (Good),Courageous
Quality (Bad),Cowardice
Quality (Good),Creative
Quality (Bad),Critical
Quality (Bad),Cruel
Quality (Good),Curious
Quality (Good),Delicate
Quality (Good),Determined
Quality (Good),Diplomat
Quality (Good),Disciplined
Quality (Good),Discreet
Quality (Bad),Dishonest
Quality (Bad),Disobedient
Quality (Bad),Dizzy
Quality (Bad),Dreamer
Quality (Bad),Dumb
Quality (Good),Effective
Quality (Good),Elegant
Quality (Bad),Emotional
Quality (Good),Energetic
Quality (Good),Enigmatic
Quality (Good),Enterprising
Quality (Good),Enthusiastic
Quality (Bad),Envious
Quality (Bad),Evil
Quality (Bad),Excessive
Quality (Good),Experienced
Quality (Bad),Experimented
Quality (Good),Extrovert
Quality (Good),Faithful
Quality (Bad),Fearful
Quality (Good),Frank
Quality (Good),Friendly
Quality (Good),Funny
Quality (Good),Generous
Quality (Good),Gifted
Quality (Good),Good
Quality (Bad),Greedy
Quality (Bad),Grouchy
Quality (Bad),Haughty
Quality (Good),Helpful
Quality (Good),Honest
Quality (Good),Humble
Quality (Bad),Hyperactive
Quality (Bad),Hypochondriac
Quality (Bad),Hypocritical
Quality (Good),Idealistic
Quality (Good),Imaginative
Quality (Bad),Impatient
Quality (Bad),Impulsive
Quality (Good),Independent
Quality (Bad),Indifferent
Quality (Good),Indulgent
Quality (Good),Ingenious
Quality (Good),Innocent
Quality (Bad),Insensitive
Quality (Bad),Insolent
Quality (Good),Intuitive
Quality (Good),Inventive
Quality (Bad),Irritable
Quality (Bad),Jealous
Quality (Bad),Lazy
Quality (Good),Loyal
Quality (Bad),Manipulator
Quality (Bad),Miserable
Quality (Bad),Mistrustful
Quality (Good),Modest
Quality (Bad),Moody
Quality (Bad),Negligent
Quality (Bad),Nervous
Quality (Good),Nice
Quality (Bad),Noisy
Quality (Good),Optimistic
Quality (Good),Passionate
Quality (Good),Patient
Quality (Bad),Patronizing
Quality (Good),Persevering
Quality (Good),Persuasive
Quality (Good),Pessimistic
Quality (Good),Polished
Quality (Good),Polite
Quality (Good),Positive
Quality (Bad),Possessive
Quality (Good),Pragmatic
Quality (Good),Pretentious
Quality (Good),Pride
Quality (Good),Protective
Quality (Good),Proud
Quality (Good),Prudence
Quality (Good),Punctual
Quality (Good),Reasonable
Quality (Bad),Reckless
Quality (Good),Reliable
Quality (Good),Reserve
Quality (Good),Resourceful
Quality (Good),Responsible
Quality (Bad),Rude
Quality (Bad),Ruthless
Quality (Good),Self Master
Quality (Bad),Selfish
Quality (Good),Sensitive
Quality (Good),Serious
Quality (Bad),Shy
Quality (Good),Sincere
Quality (Bad),Skeptical
Quality (Bad),Slow
Quality (Bad),Sly
Quality (Good),Smart
Quality (Good),Sociable
Quality (Bad),Stubborn
Quality (Bad),Stupid
Quality (Bad),Superficial
Quality (Bad),Susceptible
Quality (Good),Talented
Quality (Good),Talkative
Quality (Good),Tenacious
Quality (Good),Tolerant
Quality (Good),Trustworthy
Quality (Bad),Turbulent
Quality (Good),Understanding
Quality (Bad),Unpredictable
Quality (Bad),Vain
Quality (Bad),Vice
Quality (Bad),Vicious
Quality (Bad),Vindictive
Quality (Good),Warm
Quality (Bad),Wicked
Quality (Good),Wise
Quality (Good),Worker
Hobbies,Reading
Hobbies,Hiking
Hobbies,Art
